[trace] - Source/remote_controller.cpp:main:90 , now listening port:7100
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38892 
[trace] - Source/remote_controller.cpp:main:173 , RELAY OPEN
[trace] - Source/remote_controller.cpp:main:190 , waiting to write fd:6
[trace] - Source/remote_controller.cpp:main:192 , writing finished
[trace] - Source/remote_controller.cpp:main:155 , connection fd:6 closed
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38894 
[trace] - Source/remote_controller.cpp:main:173 , RELAY OPEN
[trace] - Source/remote_controller.cpp:main:190 , waiting to write fd:6
[trace] - Source/remote_controller.cpp:main:192 , writing finished
[trace] - Source/remote_controller.cpp:main:155 , connection fd:6 closed
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38896 
[trace] - Source/remote_controller.cpp:main:173 , RELAY OPEN
[trace] - Source/remote_controller.cpp:main:190 , waiting to write fd:6
[trace] - Source/remote_controller.cpp:main:192 , writing finished
[trace] - Source/remote_controller.cpp:main:155 , connection fd:6 closed
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38898 
[trace] - Source/remote_controller.cpp:main:173 , RELAY OPEN
[trace] - Source/remote_controller.cpp:main:190 , waiting to write fd:6
[trace] - Source/remote_controller.cpp:main:192 , writing finished
[trace] - Source/remote_controller.cpp:main:155 , connection fd:6 closed
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38900 
[trace] - Source/remote_controller.cpp:main:173 , RELAY OPEN
[trace] - Source/remote_controller.cpp:main:190 , waiting to write fd:6
[trace] - Source/remote_controller.cpp:main:192 , writing finished
[trace] - Source/remote_controller.cpp:main:155 , connection fd:6 closed
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38902 
[trace] - Source/remote_controller.cpp:main:173 , RELAY OPEN
[trace] - Source/remote_controller.cpp:main:190 , waiting to write fd:6
[trace] - Source/remote_controller.cpp:main:192 , writing finished
[trace] - Source/remote_controller.cpp:main:155 , connection fd:6 closed
[trace] - Source/remote_controller.cpp:main:125 , accept a connection from 127.0.0.1:38904 
